name	id	wine_types	wines	grape_varieties	place_of_origin
Mavrodafni	/m/062fcr			Mavrodafni	
Portuguese wine	/m/05lwgm				
Rosso di Montalcino	/m/03hh_lx		2005 Baricci Rosso di Montalcino	Sangiovese	Montalcino
Alban wine	/m/0dx27d				
Barbera d'Alba	/m/07yf24l		1997 Sottimano Pairolero Barbera d'Alba	Barbera	Province of Asti
Conero	/m/07yl5gz				
Passum	/m/0260y8x				
Nama	/m/03wfmrv				
Port wine	/m/0143h2	Fortified wine	Porto Messias		
Carmignano	/m/07yl4rs		2005 Tenuta di Capezzana Carmignano Villa di Capezzana	Sangiovese	Carmignano
Dolcetto d'Alba	/m/07yl5x7			Dolcetto	Alba
Conditum Paradoxum	/m/03nr922				
Cerasuolo di Vittoria	/m/07yl5hm				
Malvasia di Castelnuovo Don Bosco	/m/03cfl63			Malvasia di Schierano	
Brachetto d'Acqui	/m/07yl5h7				
Jura wine	/m/07vs4d				
Mulled wine	/m/01662y				
Falanghina	/m/07yf25m		2008 Feudi di San Gregorio Falanghina Sannio	Falanghina	Falanghina
Vin gris	/m/06fyks				
Ramandolo	/m/02rr6hf			Verduzzo	
Dolcetto di Ovada Superiore	/m/07yl5hb				
Chianti Classico	/m/09dn8g		1998 Fonterutoli Chianti Classico	Sangiovese	Chianti Classico
Alentejo VR	/m/0f9n0f				
Lombardia	/m/03d1jlk				Lombardy
Montrachet	/m/07xp89				
Asti	/m/0cssh1				
Gattinara	/m/02x00jb			Vespolina,Nebbiolo,Bonarda di Gattinara	Gattinara DOCG
Dolcetto d'Asti	/m/07yl5xl				Province of Asti
Vermentino di Gallura	/m/07yl5hj				
Rosette	/m/05zn36n				Rosette AOC
Corsica wine	/m/0466f3l				
Vino Nobile di Montepulciano	/m/0fn_2q				
Chianti	/m/025r2		2004 Querceto Chianti	Sangiovese	Chianti
Beaujolais	/m/01h0qk		2009 Thorin Ame du Terroir Brouilly rouge		Beaujolais
Vernaccia di San Gimignano	/m/04m6hd			Vernaccia	
Cortese di Gavi	/m/03c9yx6				
Vida Nova	/m/06_3lnq				
Bardolino Superiore	/m/07yl5hq				
Moscato d'Asti	/m/02pd9c8				
Dolcetto di Dogliani	/m/03cc87b			Dolcetto	
Angelica wine	/m/08tc84			Mission	
Albana di Romagna	/m/07yl5gg				
White Burgundy	/m/07yf1_z		2006 Domaine Bzikot Père et Fils "Bourgogne Blanc",1999 Domaine Ramonet Chassagne-Montrachet "Morgeot"	Chardonnay	Côte d'Or
Persian wine	/m/0dlvd_				
Trockenbeerenauslese	/m/03svt8				
Barolo	/m/01qgwc		2000 Michele Chiarlo Barolo Cerequio,1996 Marcarini "La Serra" Barolo	Nebbiolo	Barolo
Roero	/m/07yl5hf				
Constantia	/m/053yj1	Still Wine,Dessert wine		Muscat Blanc à Petits Grains	Constantia, Cape Town
Mavrud	/m/0623gg				
Falernian wine	/m/0d7glw				
Franciacorta	/m/05b5xfr				
Sauternes	/m/0blnnf			Muscadelle,Sémillon,Sauvignon blanc	
Liqueur Muscat	/m/03d1_78				
Lambrusco	/m/0420wm				
Red Burgundy	/m/07yf21q		1999 Domaine Romanee Conti La Tache	Pinot Noir	Côte d'Or
Cesanese del Piglio	/m/07yl5gk				
Kijafa	/m/03m84_w				
Meritage	/m/01gfwp				
Bokbunja ju	/m/05q9kcv				
White Zinfandel	/m/01hqlb			Zinfandel	
Commandaria	/m/01kdm6				
Tasmanian wine	/m/03c9kvw				
Cviček	/m/026ysp9				
Grower Champagne	/m/056mh0h				Champagne
Vin doux naturel	/m/02qkqj_	Fortified wine		Muscat,Grenache	
Sagrantino di Montefalco	/m/05b494h				
Montepulciano d'Abruzzo	/m/0frw6c				
Alsace wine	/m/044k1n				Alsace AOC
Chateau de Fonbel	/m/0542x17				
Mateus	/m/0c4q_b				
Prosecco	/m/047mr6				
Vinho Verde	/m/02crn_				
Morellino di Scansano	/m/08t5h1				
Sélection de Grains Nobles	/m/03nqrdy				
Cold Duck	/m/041v0g				
Colli Orientali del Friuli	/m/03hhbcm				
Brindisi Rosso	/m/026k19w				
Barbera del Monferrato Superiore	/m/07yl5h4				
Barbaresco	/m/07yf232		1995 Bruno Giacosa Gallina di Neive Barbaresco	Nebbiolo	Barbaresco
Soave	/m/06mr7y				Soave DOCG
Sforzato di Valtellina	/m/07yl5gr				
Ghemme	/m/04zx5tf			Vespolina	Ghemme DOCG
Toscana	/m/03d3vxv				
Bardolino	/m/02r6zs1			Rondinella,Corvina,Molinara	
Greco di Tufo	/m/07yf29z		2007 Feudi di San Gregorio Greco di Tufo	Tufo	Tufo
Vins de liqueur	/m/03d202s				
Taurasi	/m/03ccsnb	Still Wine		Aglianico	Province of Avellino
Vino Greco	/m/0d81d0				
Recioto di Soave	/m/07yl5ht				
Egri Bikavér	/m/073hy6				
Uhudler	/m/09tdlt				
Egerszóláti Olaszrizling	/m/03c3wds				Eger
Vino cotto	/m/03c92jx				
Burgundy wine	/m/0358nz				
Frascati	/m/08f9bh				
Vin de pays	/m/05jg4w				
Caecuban wine	/m/0dgv49				
Vernaccia di Serrapetrona	/m/07yl5h1				
Retsina	/m/01jg9j	Resinated wine		Savatiano	Greece
Tokajsky wine	/m/042j85				
Fiano di Avellino	/m/07yl5gc				
Prošek	/m/03h0_q7				
Lesbian wine	/m/03d3g3_				Lesbos Island
Alentejo Wines	/m/064hxr0				Alentejo
Muscadet	/m/05wgh_				
Chablis wine	/m/02_n07				
Vegan wine	/m/092wzw				
Marsala wine	/m/0c8jf	Fortified wine	1997 Marsala Superiore Riserva Targa Riserva 1840,1998 Marsala Vergine Terre Arse,Marsala Superiore Riserva Semisecco Ambra Donna Franca,1993 Marsala Vergine Baglio Florio	Catarratto,Grillo,Inzolia	Marsala DOC
Lancers	/m/0c4r71				Portugal
Barbera d'Asti	/m/02rs9l0			Barbera	
Rose hip wine	/m/051yyqc				
Lombardia Superiore	/m/07yl5gw				
Italian wine	/m/05yjkq				
Oltrepo Pavese Metodo Classico	/m/07yl5gn				
Teran	/m/05h2xm				
Brunello di Montalcino	/m/04pkns		2001 Argiano Brunello di Montalcino	Sangiovese	Montalcino
